NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
  28 IPTER     0.00  2 2020 12 2020                                                                                                                                                                     
  28 GTMIN    12.28  6 2018 12 2018                                                                                                                                                                     
  28 GTMIN     3.16  1 2019  1 2019                                                                                                                                                                     
  28 GTMIN    12.28  2 2019 12 2019                                                                                                                                                                     
  28 GTMIN     3.16  1 2020  1 2020                                                                                                                                                                     
  28 GTMIN    12.28  2 2020 12 2020                                                                                                                                                                     
  28 GTMIN     4.65  1 2021  1 2021                                                                                                                                                                     
  28 GTMIN    10.12  2 2021                                                                                                                                                                             
  26 POTEF   100.00 10 2017          J.LACERDA A1                                                                                                                                                       
  26 FCMAX    90.00 10 2017                                                                                                                                                                             
  26 GTMIN    25.00 10 2017 12 2017                                                                                                                                                                     
  26 GTMIN    30.00  1 2018  1 2018                                                                                                                                                                     
  26 GTMIN    25.00  6 2018 10 2018                                                                                                                                                                     
  26 GTMIN    30.00  1 2019  1 2019                                                                                                                                                                     
  26 GTMIN    25.00  6 2019 10 2019                                                                                                                                                                     
  26 GTMIN    30.00  1 2020  1 2020                                                                                                                                                                     
  26 GTMIN    25.00  6 2020 10 2020                                                                                                                                                                     
  26 GTMIN    30.00  1 2021  1 2021                                                                                                                                                                     
  26 GTMIN    25.00  6 2021 10 2021                                                                                                                                                                     
  27 POTEF   132.00 10 2017          J.LACERDA A2                                                                                                                                                       
  27 FCMAX    90.91 10 2017                                                                                                                                                                             
  27 GTMIN    70.00 10 2017  9 2018                                                                                                                                                                     
  27 GTMIN    66.00 10 2018 10 2018                                                                                                                                                                     
  27 GTMIN    66.00  1 2019  1 2019                                                                                                                                                                     
  27 GTMIN    66.00  4 2019 10 2019                                                                                                                                                                     
  27 GTMIN    66.00  1 2020  1 2020                                                                                                                                                                     
  27 GTMIN    66.00  4 2020 10 2020                                                                                                                                                                     
  27 GTMIN    66.00  1 2021  1 2021                                                                                                                                                                     
  27 GTMIN    66.00  4 2021 10 2021                                                                                                                                                                     
  25 POTEF   262.00 10 2017          J.LACERDA B                                                                                                                                                        
  25 FCMAX    91.60 10 2017                                                                                                                                                                             
